Season,Team,W,L,WPct,wRC+,FIP-,OPS+,ERA-,Payroll,log_Payroll
2016,COL,75,87,0.46296296296296297,94,99,97,102,107902280,18.496736560681665
2016,MIA,79,82,0.4906832298136646,95,99,96,103,77715306,18.168562784355192
2016,HOU,84,78,0.5185185185185185,101,92,103,101,99828742,18.41896669581079
2016,LAD,91,71,0.5617283950617284,97,89,95,93,266745494,19.401805555782282
2016,MIL,73,89,0.4506172839506173,92,104,92,97,63161191,17.961200604045363
2016,WSN,95,67,0.5864197530864198,96,87,96,83,139583852,18.754176068249432
2016,NYM,87,75,0.5370370370370371,99,88,97,92,147236560,18.807551102985652
2016,PHI,71,91,0.4382716049382716,81,103,82,112,103898809,18.458927993058616
2016,PIT,78,83,0.484472049689441,97,105,96,104,99518136,18.4158504568762
2016,STL,86,76,0.5308641975308642,105,95,104,100,149355870,18.821842405503173
2016,SDP,68,94,0.41975308641975306,84,107,86,110,83435559,18.23958514336691
2016,SFG,87,75,0.5370370370370371,96,96,97,91,178834344,19.001970482795496
2015,LAA,85,77,0.5246913580246914,95,102,97,102,143348162,18.780786928446542
2015,BAL,81,81,0.5,97,98,97,100,116400870,18.572550567460485
2015,BOS,78,84,0.48148148148148145,99,105,97,104,183481478,19.027624283034683
2015,CHW,76,86,0.4691358024691358,89,93,92,100,118875487,18.59358717556171
2015,CLE,81,80,0.5031055900621118,97,89,93,90,77404413,18.16455435243851
2015,DET,74,87,0.45962732919254656,103,109,105,114,162160921,18.90409973966762
2015,KCR,95,67,0.5864197530864198,99,102,98,92,126391174,18.65489221128972
2015,MIN,83,79,0.5123456790123457,89,100,92,99,106231818,18.481134226419414
2015,NYY,87,75,0.5370370370370371,103,95,102,100,221242659,19.214770661640838
2015,OAK,68,94,0.41975308641975306,95,104,96,106,80491339,18.203660146538454
2015,SEA,76,86,0.4691358024691358,100,104,101,108,126045473,18.652153296633553
2015,TBR,80,82,0.49382716049382713,100,99,100,96,73241552,18.109273468152292
2015,TEX,88,74,0.5432098765432098,98,106,98,101,149234268,18.821027897646097
2015,TOR,93,69,0.5740740740740741,117,100,115,94,138309664,18.745005671272512
2015,ARI,79,83,0.4876543209876543,95,107,97,98,76781801,18.156478203891155
2015,ATL,67,95,0.41358024691358025,84,115,87,113,110777379,18.523033150784016
2015,CHC,97,65,0.5987654320987654,96,85,98,86,132993810,18.705813143749562
2015,CIN,64,98,0.3950617283950617,91,107,92,110,112333097,18.536979095788745
2015,COL,68,94,0.41975308641975306,87,110,89,112,101277051,18.433370398637646
2015,MIA,71,91,0.4382716049382716,91,105,93,106,72990525,18.105840196168078
2015,HOU,86,76,0.5308641975308642,108,91,107,92,81450835,18.215510144647933
2015,LAD,92,70,0.5679012345679012,106,89,106,92,301735080,19.525059971814752
2015,MIL,68,94,0.41975308641975306,87,104,91,107,93298373,18.351313227294675
2015,WSN,83,79,0.5123456790123457,96,90,96,92,165655095,18.925418443858664
2015,NYM,90,72,0.5555555555555556,98,91,96,93,115698927,18.56650191813646
2015,PHI,63,99,0.3888888888888889,86,110,89,120,141722639,18.769382459013123
2015,PIT,98,64,0.6049382716049383,97,88,97,84,99435606,18.415020816740718
2015,STL,100,62,0.6172839506172839,97,91,95,77,132178951,18.69966725182741
2015,SDP,74,88,0.4567901234567901,90,103,91,110,107915272,18.49685695867428
2015,SFG,84,78,0.5185185185185185,104,106,101,100,181613630,19.017392076381057
